(0, array([ 0.81816111,  0.78952806]))
(0, array([-0.48367053,  0.43679813]))
(1, array([-0.14739828,  0.22556193]))
(0, array([ 0.11834786,  0.99156023]))
(1, array([-0.25253387,  0.18776697]))
(0, array([-0.93313522,  0.73385959]))
(0, array([ 0.6975216 , -0.11832611]))
(1, array([ 0.33332321,  0.14006592]))
(1, array([ 1.06519327, -0.38867949]))
(1, array([ 1.9369961 ,  0.63112161]))
(0, array([ 1.05840957,  0.51858443]))
(0, array([-0.50840939,  0.55259494]))
(0, array([-1.32109805,  0.51437657]))
(1, array([ 0.29449971, -0.26078938]))
(1, array([ 1.33653621, -0.18005761]))
(1, array([ 1.51241178,  0.11081331]))
(1, array([ 1.01934807, -0.17993629]))
(0, array([-1.13305483,  0.11109962]))
(1, array([ 2.07463826,  0.51253705]))
(0, array([ 0.73451679,  0.5346233 ]))
(1, array([-0.12213442,  0.15292037]))
(1, array([-0.0557186 ,  0.57286794]))
(0, array([ 0.45046033,  1.09585861]))
(0, array([-0.7204608 ,  1.01733354]))
(0, array([-0.33698825,  0.89060661]))
(0, array([ 1.0628775 ,  0.17231496]))
(1, array([ 0.34005355,  0.32486358]))
(1, array([ 1.24491552, -0.5137574 ]))
(0, array([ 0.30966003,  1.16677531]))
(1, array([-0.06114159, -0.02921072]))
(1, array([ 0.48281721, -0.43196099]))
(1, array([ 1.68734249, -0.6872367 ]))
(0, array([ 0.80862106,  0.28415372]))
(0, array([ 0.29809162,  0.82211432]))
(1, array([ 0.8496547 , -0.30507345]))
(0, array([-0.3802171 ,  0.88414623]))
(1, array([ 1.32734432, -0.48056888]))
(1, array([ 0.23337057,  0.10750568]))
(0, array([ 0.68841773,  1.15068264]))
(0, array([ 0.6779624 ,  0.78024482]))
(1, array([ 0.3395913 , -0.02223857]))
(1, array([ 1.30440877, -0.52950917]))
(0, array([ 0.75307594,  0.8526869 ]))
(1, array([ 1.4298847 , -0.21080222]))
(1, array([ 0.55631903, -0.70781481]))
(1, array([ 1.45384401,  0.12718529]))
(0, array([ 0.3203754 ,  0.87271389]))
(1, array([ 0.53148147, -0.27424077]))
(1, array([ 1.51658699, -0.45069719]))
(1, array([ 0.99826403, -0.80979075]))
(0, array([ 0.63918299,  0.96606739]))
(0, array([-1.2855903 ,  0.10677262]))
(0, array([-1.07840959,  0.56402523]))
(0, array([-0.57716798,  0.2942259 ]))
(1, array([ 0.25403599, -0.00644002]))
(1, array([ 0.91722632, -0.29657499]))
(1, array([ 1.43380709,  0.69183071]))
(0, array([-0.70851168,  0.49617855]))
(0, array([-0.64683386,  0.46971252]))
(0, array([ 0.30143461,  0.76398572]))
(1, array([ 1.48069489, -0.3572808 ]))
(0, array([-1.02663961,  0.41265823]))
(1, array([ 1.89660871,  0.25413209]))
(1, array([ 2.04251223, -0.46074593]))
(1, array([ 1.92673019,  0.40817963]))
(0, array([ 0.35766276,  1.0872811 ]))
(0, array([ 0.1240315 ,  0.67672995]))
(1, array([ 0.97332087, -0.70530678]))
(0, array([-0.72894228,  0.44179419]))
(0, array([-0.69863061,  0.77620293]))
(0, array([-0.93516752,  0.43520803]))
(0, array([ 0.45166927,  1.00185497]))
(0, array([ 0.87629641,  0.28951999]))
(0, array([ 0.88155818,  0.23925957]))
(1, array([-0.07795147,  0.27995261]))
(0, array([-0.56365899,  0.8918972 ]))
(1, array([ 1.6049806 ,  0.13835516]))
(1, array([ 0.27695668,  0.01210816]))
(0, array([ 0.25919429,  1.04104213]))
(1, array([ 1.5215205, -0.1258923]))
